model,epoch,train_loss,val_accuracy,val_weighted_accuracy,val_precision_disaster,val_recall_disaster,val_f1_disaster,val_roc_auc,val_average_precision,val_loss
cnn_convnext_tiny,1,0.22302066553384065,0.9334811529933481,0.9682270705359034,0.6462264150943396,1.0,0.7851002865329513,0.9982663772996754,0.9887917883456611,0.1735935195983117
cnn_convnext_tiny,2,0.04692757972516119,0.9906873614190688,0.9955517898750265,0.9288135593220339,1.0,0.9630931458699473,0.9998876185072053,0.9991911403888751,0.0410086238529624
cnn_convnext_tiny,3,0.018096336559392513,0.9973392461197339,0.9987290828214361,0.9785714285714285,1.0,0.9891696750902527,0.999988946082676,0.9999203670284763,0.014420159379156625
cnn_convnext_tiny,4,0.008133444841951132,0.9982261640798226,0.9991527218809574,0.9856115107913669,1.0,0.9927536231884058,0.999996315360892,0.9999734087639677,0.008728621966162172
cnn_convnext_tiny,5,0.005877260811394081,0.9977827050997783,0.9989409023511968,0.982078853046595,1.0,0.9909584086799277,0.9999981576804461,0.9999867285998673,0.006798088702552863
cnn_convnext_tiny,6,0.004097461735364049,0.9977827050997783,0.9989409023511968,0.982078853046595,1.0,0.9909584086799277,1.0,1.0,0.005559339855039727
cnn_convnext_tiny,7,0.003334983831155114,0.9995565410199556,0.9997881804702393,0.9963636363636363,1.0,0.9981785063752276,1.0,1.0,0.004204911269462294
cnn_convnext_tiny,8,0.00375977173098363,0.9995565410199556,0.9997881804702393,0.9963636363636363,1.0,0.9981785063752276,1.0,1.0,0.003710326854709511
cnn_convnext_tiny,9,0.0031475876370677725,0.9995565410199556,0.9997881804702393,0.9963636363636363,1.0,0.9981785063752276,1.0,1.0,0.0035057968714020467
cnn_convnext_tiny,10,0.003280553504009731,0.9995565410199556,0.9997881804702393,0.9963636363636363,1.0,0.9981785063752276,1.0,0.9999999999999999,0.003480939628213578
vit_b_16,1,0.10520278838230297,0.9977827050997783,0.9989409023511968,0.982078853046595,1.0,0.9909584086799277,0.999998157680446,0.9999867285998673,0.014468643079179354
vit_b_16,2,0.0033652382873697205,0.9995565410199556,0.9997881804702393,0.9963636363636363,1.0,0.9981785063752276,1.0,0.9999999999999999,0.0047851583893574
vit_b_16,3,0.0013318197394255548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028819938392653037
vit_b_16,4,0.0007007029686064925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0022208430750621793
vit_b_16,5,0.0005613665918644984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0021119700442223154
vit_b_16,6,0.0006813644780777395,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0015243712591705328
vit_b_16,7,0.0003693876780744176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0014333357986996153
vit_b_16,8,0.0003459967574599432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013765877335768053
vit_b_16,9,0.0003183276498020859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013679932703794767
vit_b_16,10,0.0003554544167855056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013689509343083313
